event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
HTI4368,"12 July 2023",2023,1,"Political violence","Violence against civilians",Attack,"Ti Bwa Gang",,3,"Civilians (Haiti)",,7,37,"Civilian targeting",332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Carrefour",18.5411,-72.3992,1,"Haiti Standard; RNDDH: National Human Rights Defense Network",Other-National,"On 12 July 2023, in Port-au-Prince - Carrefour, Ouest, members of the Ti Bwa gang shot and killed a man while he was driving a car in the Thor neighbourhood. It is known that the victim was an employee of the Office of Vehicle Insurance Against Thirds Parties (OAVCT), and a close person to the Carrefour police commissioner. 1 fatality.",1,,1690822900
HTI4369,"12 July 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Haiti)","Vigilante Group (Haiti)",5,"Vitelhomme Gang",,3,35,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Petionville",18.5132,-72.286,1,"Le Nouvelliste",National,"On 12 July 2023, in Port-au-Prince - Petionville, Ouest, a mob of residents lynched a man in Fort-Jacques. They accused him of being a member of the Vitelhomme gang. The attack was described as a vigilante justice. 1 fatality.",1,"crowd size=no report",1693853088
HTI4357,"10 July 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Kokorat San Ras Gang",,3,"Civilians (Haiti)","Labor Group (Haiti)",7,37,"Civilian targeting",332,Caribbean,Haiti,Artibonite,Gonaives,L'Estere,Johanisse,19.3374,-72.589,1,"Haiti Progress; Le Nouvelliste",National,"On 10 July 2023, in Johanisse, Artibonite, members of the Kokorat San Ras Gang kidnapped two vehicles transporting at least eight employees of the Blue Heaven Company. The whereabouts of the victims are unknown.",0,,1690215154
HTI4360,"09 July 2023",2023,1,"Political violence",Battles,"Armed clash","Kokorat San Ras Gang",,3,"Police Forces of Haiti (2017-)",,1,13,,332,Caribbean,Haiti,Artibonite,Gonaives,L'Estere,L'Estere,19.3031,-72.6097,1,"RNDDH: National Human Rights Defense Network",Other,"On 9 July 2023, in L'Estere, Artibonite, members of the Kokorat San Ras Gang kidnapped a police officer. He was interrogated by the gangsters and then released. It is not known the day the kidnapped was released. The interrogation was shared on social media.",0,,1689610491
HTI4371,"09 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)","Protestant Christian Group (Haiti)",6,,,0,60,,332,Caribbean,Haiti,Artibonite,Gonaives,Gonaives,Gonaives,19.4475,-72.689,1,"Le Nouvelliste; Rezo Nodwes",National,"On 9 July 2023, in Gonaives, Artibonite, thousands of citizens, called by a Protestant Christian pastor, held a march with banners to oppose gang violence, rising insecurity, political instability, and corruption, among other issues. The march was held under the slogan 'Breath for Haiti'. Protests on the same claims were simultaneously held in other locations of the country (coded separately) and abroad, as this was part of an international call by members of the Protestant Christian church.",0,"crowd size=thousands",1689610491
HTI4372,"09 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)","Protestant Christian Group (Haiti)",6,,,0,60,,332,Caribbean,Haiti,Artibonite,"Saint Marc","Saint Marc",Saint-Marc,19.1082,-72.6938,1,"Le Nouvelliste",National,"On 9 July 2023, in Saint-Marc, Artibonite, thousands of citizens, called by a Protestant Christian pastor, held a march with banners to oppose gang violence, rising insecurity, political instability, and corruption, among other issues. The march was held under the slogan 'Breath for Haiti'. Protests on the same claims were simultaneously held in other locations of the country (coded separately) and abroad, as this was part of an international call by members of the Protestant Christian church.",0,"crowd size=thousands",1689610491
HTI4373,"09 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)","Protestant Christian Group (Haiti)",6,,,0,60,,332,Caribbean,Haiti,Nord-Est,"Fort Liberte","Fort Liberte",Fort-Liberte,19.6637,-71.8367,1,"Le Nouvelliste",National,"On 9 July 2023, in Fort-Liberte, Nord-Est, hundreds of citizens, called by a Protestant Christian pastor, held a march to oppose gang violence, rising insecurity, political instability, and corruption, among other issues. The march was held under the slogan 'Breath for Haiti'. Protests on the same claims were simultaneously held in other locations of the country (coded separately) and abroad, as this was part of an international call by members of the Protestant Christian church.",0,"crowd size=hundreds",1689610491
HTI4374,"09 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)","Protestant Christian Group (Haiti)",6,,,0,60,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,Port-au-Prince,18.5435,-72.3388,1,"Alterpresse; Gazette Haiti; Le Nouvelliste; Rezo Nodwes",National,"On 9 July 2023, in Port-au-Prince, Ouest, several thousands citizens, political figures, and members of the civil society, called by a Protestant Christian pastor, held a march that ended in Champs de Mars to oppose gang violence, rising insecurity, political instability, and corruption, among other issues. The march was held under the slogan 'Breath for Haiti' and had initiated in Delmas, Croix des Bouquets, and Carrefour communes. Protests on the same claims were simultaneously held in other locations of the country (coded separately) and abroad, as this was part of an international call by members of the Protestant Christian church.",0,"crowd size=several thousands",1689610491
HTI4375,"09 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)","Protestant Christian Group (Haiti)",6,,,0,60,,332,Caribbean,Haiti,Sud,Cayes,"Les Cayes","Les Cayes",18.1933,-73.746,1,"Le Nouvelliste; Rezo Nodwes",National,"On 9 July 2023, in Les Cayes, Sud, citizens, called by a Protestant Christian pastor, held a march to oppose gang violence, rising insecurity, political instability, and corruption, among other issues. The march was held under the slogan 'Breath for Haiti'. Protests on the same claims were simultaneously held in other locations of the country (coded separately) and abroad, as this was part of an international call by members of the Protestant Christian church.",0,"crowd size=no report",1689610491
HTI4344,"07 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)","Former Government of Haiti (2017-)",6,,,0,60,,332,Caribbean,Haiti,Nord,"Cap Haitien","Cap Haitien",Cap-Haitien,19.7594,-72.1982,1,"Le Nouvelliste; VOA Radio",National-International,"On 7 July 2023, in Cap-Haitien, Nord, hundreds of citizens, supporters, and former political representatives held a march to demand justice for the killing of former President Jovenel Moise, in July 2021 (coded separately). Protesters claimed the perpetrators to be arrested and charged. The march was held on the occasion of the second anniversary of his killing.",0,"crowd size=hundreds",1689019388
